company,score,Sector,url
Systango Technologies Ltd,87,Computers - Software & Consulting Companies,https://www.screener.in/company/SYSTANGO/consolidated/
NINtec Systems Ltd,86,Computers - Software & Consulting Companies,https://www.screener.in/company/NINSYS/consolidated/
Newgen Software Technologies Ltd,86,Computers - Software & Consulting Companies,https://www.screener.in/company/NEWGEN/consolidated/
Identixweb Ltd,85,Computers - Software & Consulting Companies,https://www.screener.in/company/544388/consolidated/
All E Technologies Ltd (ALLETEC),83,Computers - Software & Consulting Companies,
Persistent Systems Ltd,83,Computers - Software & Consulting Companies,https://www.screener.in/company/PERSISTENT/consolidated/
Infosys Ltd,82,Computers - Software & Consulting Companies,https://www.screener.in/company/INFY/consolidated/
KPIT Technologies Ltd,81,Computers - Software & Consulting Companies,https://www.screener.in/company/KPITTECH/consolidated/
TAC Infosec Ltd,81,Computers - Software & Consulting Companies,https://www.screener.in/company/TAC/consolidated/
Hexaware Technologies Ltd,81,Computers - Software & Consulting Companies,https://www.screener.in/company/HEXT/consolidated/
Tata Consultancy Services Ltd (TCS),81,Computers - Software & Consulting Companies,
Saksoft Ltd,80,Computers - Software & Consulting Companies,https://www.screener.in/company/SAKSOFT/consolidated/
Innovana Thinklabs Ltd,80,Computers - Software & Consulting Companies,https://www.screener.in/company/INNOVANA/consolidated/
Ceinsys Tech Ltd,79,Computers - Software & Consulting Companies,https://www.screener.in/company/538734/consolidated/
Accelya Solutions India Ltd,79,Computers - Software & Consulting Companies,https://www.screener.in/company/ACCELYA/consolidated/
DRC Systems India Ltd,79,Computers - Software & Consulting Companies,https://www.screener.in/company/DRCSYSTEMS/consolidated/
Ksolves India Ltd,78,Computers - Software & Consulting Companies,https://www.screener.in/company/KSOLVES/consolidated/
Aurionpro Solutions Ltd,78,Computers - Software & Consulting Companies,https://www.screener.in/company/AURIONPRO/consolidated/
HCL Technologies Ltd,78,Computers - Software & Consulting Companies,https://www.screener.in/company/HCLTECH/consolidated/
ACE Alpha Tech Ltd,76,Computers - Software & Consulting Companies,https://www.screener.in/company/544431/
Workmates Core2cloud Solution Ltd,76,Computers - Software & Consulting Companies,https://www.screener.in/company/544610/consolidated/
InfoBeans Technologies Ltd,75,Computers - Software & Consulting Companies,https://www.screener.in/company/INFOBEAN/consolidated/
Trident Techlabs Ltd,74,Computers - Software & Consulting Companies,https://www.screener.in/company/TECHLABS/consolidated/
Sonata Software Ltd,73,Computers - Software & Consulting Companies,https://www.screener.in/company/SONATSOFTW/consolidated/
Axis Solutions Ltd,73,Computers - Software & Consulting Companies,https://www.screener.in/company/511144/
Intellect Design Arena Ltd,72,Computers - Software & Consulting Companies,https://www.screener.in/company/INTELLECT/consolidated/
LTIMindtree Ltd,72,Computers - Software & Consulting Companies,https://www.screener.in/company/LTIM/consolidated/
Latent View Analytics Ltd,71,Computers - Software & Consulting Companies,https://www.screener.in/company/LATENTVIEW/consolidated/
Rategain Travel Technologies Ltd,71,Computers - Software & Consulting Companies,https://www.screener.in/company/RATEGAIN/consolidated/
Coforge Ltd,71,Computers - Software & Consulting Companies,https://www.screener.in/company/COFORGE/consolidated/
Zensar Technologies Ltd,71,Computers - Software & Consulting Companies,https://www.screener.in/company/ZENSARTECH/consolidated/
Magellanic Cloud Ltd,70,Computers - Software & Consulting Companies,https://www.screener.in/company/MCLOUD/consolidated/
Shradha AI Technologies Ltd,70,Computers - Software & Consulting Companies,https://www.screener.in/company/543976/
Wipro Ltd,69,Computers - Software & Consulting Companies,https://www.screener.in/company/WIPRO/consolidated/
Mastek Ltd,69,Computers - Software & Consulting Companies,https://www.screener.in/company/MASTEK/consolidated/
Fidel Softech Ltd,69,Computers - Software & Consulting Companies,https://www.screener.in/company/FIDEL/consolidated/
Delaplex Ltd,68,Computers - Software & Consulting Companies,https://www.screener.in/company/DELAPLEX/consolidated/
Secmark Consultancy Ltd,68,Computers - Software & Consulting Companies,https://www.screener.in/company/SECMARK/
Hypersoft Technologies Ltd,68,Computers - Software & Consulting Companies,https://www.screener.in/company/539724/
Naapbooks Ltd,68,Computers - Software & Consulting Companies,https://www.screener.in/company/543351/
CapitalNumbers Infotech Ltd,67,Computers - Software & Consulting Companies,https://www.screener.in/company/544343/consolidated/
Covance Softsol Ltd,67,Computers - Software & Consulting Companies,https://www.screener.in/company/544361/consolidated/
CG-VAK Software & Exports Ltd,67,Computers - Software & Consulting Companies,https://www.screener.in/company/531489/consolidated/
Mphasis Ltd,66,Computers - Software & Consulting Companies,https://www.screener.in/company/MPHASIS/consolidated/
Edvenswa Enterprises Ltd,66,Computers - Software & Consulting Companies,https://www.screener.in/company/517170/consolidated/
Austere Systems Ltd,66,Computers - Software & Consulting Companies,https://www.screener.in/company/544505/
Silver Touch Technologies Ltd,65,Computers - Software & Consulting Companies,https://www.screener.in/company/SILVERTUC/consolidated/
Tech Mahindra Ltd,64,Computers - Software & Consulting Companies,https://www.screener.in/company/TECHM/consolidated/
AccelerateBS India Ltd,64,Computers - Software & Consulting Companies,https://www.screener.in/company/543938/
Methodhub Software Ltd,64,Computers - Software & Consulting Companies,https://www.screener.in/company/544637/consolidated/
ASM Technologies Ltd,63,Computers - Software & Consulting Companies,https://www.screener.in/company/526433/consolidated/
Fractal Analytics Ltd,63,Computers - Software & Consulting Companies,https://www.screener.in/company/FRACTAL/consolidated/
Xchanging Solutions Ltd,62,Computers - Software & Consulting Companies,https://www.screener.in/company/XCHANGING/consolidated/
Tata Elxsi Ltd,62,Computers - Software & Consulting Companies,https://www.screener.in/company/TATAELXSI/
Focus Business Solution Ltd,61,Computers - Software & Consulting Companies,https://www.screener.in/company/543312/
Logiciel Solutions Ltd,58,Computers - Software & Consulting Companies,https://www.screener.in/company/544625/
Cybertech Systems & Software Ltd,58,Computers - Software & Consulting Companies,https://www.screener.in/company/CYBERTECH/consolidated/
Birlasoft Ltd,56,Computers - Software & Consulting Companies,https://www.screener.in/company/BSOFT/consolidated/
Mindteck (India) Ltd,55,Computers - Software & Consulting Companies,https://www.screener.in/company/MINDTECK/consolidated/
Happiest Minds Technologies Ltd,54,Computers - Software & Consulting Companies,https://www.screener.in/company/HAPPSTMNDS/consolidated/
Canarys Automations Ltd,54,Computers - Software & Consulting Companies,https://www.screener.in/company/CANARYS/consolidated/
Paramatrix Technologies Ltd,48,Computers - Software & Consulting Companies,https://www.screener.in/company/PARAMATRIX/consolidated/
Alphalogic Techsys Ltd,47,Computers - Software & Consulting Companies,https://www.screener.in/company/542770/consolidated/
Kody Technolab Ltd,46,Computers - Software & Consulting Companies,https://www.screener.in/company/KODYTECH/consolidated/
XT Global Infotech Ltd,46,Computers - Software & Consulting Companies,https://www.screener.in/company/XTGLOBAL/consolidated/
Equippp Social Impact Technologies Ltd,44,Computers - Software & Consulting Companies,https://www.screener.in/company/EQUIPPP/consolidated/
3i Infotech Ltd,42,Computers - Software & Consulting Companies,https://www.screener.in/company/3IINFOLTD/consolidated/
Niks Technology Ltd,41,Computers - Software & Consulting Companies,https://www.screener.in/company/543282/
Softtech Engineers Ltd,41,Computers - Software & Consulting Companies,https://www.screener.in/company/SOFTTECH/consolidated/
Globalspace Technologies Ltd,41,Computers - Software & Consulting Companies,https://www.screener.in/company/540654/consolidated/
Accedere Ltd,40,Computers - Software & Consulting Companies,https://www.screener.in/company/531533/consolidated/
S A Tech Software India Ltd,39,Computers - Software & Consulting Companies,https://www.screener.in/company/SATECH/
SagarSoft (India) Ltd,38,Computers - Software & Consulting Companies,https://www.screener.in/company/540143/consolidated/
Trigyn Technologies Ltd,38,Computers - Software & Consulting Companies,https://www.screener.in/company/TRIGYN/consolidated/
Accel Ltd,37,Computers - Software & Consulting Companies,https://www.screener.in/company/517494/consolidated/
Objectone Information Systems Ltd,36,Computers - Software & Consulting Companies,https://www.screener.in/company/535657/
Space Incubatrics Technologies Ltd,36,Computers - Software & Consulting Companies,https://www.screener.in/company/541890/
Yudiz Solutions Ltd,34,Computers - Software & Consulting Companies,https://www.screener.in/company/YUDIZ/consolidated/
Adjia Technologies Ltd,34,Computers - Software & Consulting Companies,https://www.screener.in/company/543269/
Micropro Software Solutions Ltd,33,Computers - Software & Consulting Companies,https://www.screener.in/company/MICROPRO/consolidated/
Trejhara Solutions Ltd,32,Computers - Software & Consulting Companies,https://www.screener.in/company/TREJHARA/consolidated/
Empower India Ltd,32,Computers - Software & Consulting Companies,https://www.screener.in/company/504351/consolidated/
GTT Data Solutions Ltd,32,Computers - Software & Consulting Companies,https://www.screener.in/company/530457/consolidated/
California Software Company Ltd,32,Computers - Software & Consulting Companies,https://www.screener.in/company/CALSOFT/consolidated/
63 Moons Technologies Ltd,31,Computers - Software & Consulting Companies,https://www.screener.in/company/63MOONS/consolidated/
Orchasp Ltd,29,Computers - Software & Consulting Companies,https://www.screener.in/company/ORCHASP/consolidated/
Southern Infoconsultants Ltd,29,Computers - Software & Consulting Companies,https://www.screener.in/company/540174/
GVP Infotech Ltd,29,Computers - Software & Consulting Companies,https://www.screener.in/company/GVPTECH/
Cambridge Technology Enterprises Ltd,27,Computers - Software & Consulting Companies,https://www.screener.in/company/CTE/consolidated/
Sofcom Systems Ltd,27,Computers - Software & Consulting Companies,https://www.screener.in/company/538923/consolidated/
Athena Global Technologies Ltd,26,Computers - Software & Consulting Companies,https://www.screener.in/company/517429/consolidated/
R S Software (India) Ltd,23,Computers - Software & Consulting Companies,https://www.screener.in/company/RSSOFTWARE/consolidated/
Tranway21 Technologies Ltd,22,Computers - Software & Consulting Companies,https://www.screener.in/company/542923/consolidated/
Mudunuru Ltd,21,Computers - Software & Consulting Companies,https://www.screener.in/company/538743/
Wherrelz IT Solutions Ltd,20,Computers - Software & Consulting Companies,https://www.screener.in/company/543436/
Mahaveer Infoway Ltd,19,Computers - Software & Consulting Companies,https://www.screener.in/company/539383/
Quicktouch Technologies Ltd,18,Computers - Software & Consulting Companies,https://www.screener.in/company/QUICKTOUCH/consolidated/
Sparc Electrex Ltd,15,Computers - Software & Consulting Companies,https://www.screener.in/company/531370/
ECS Biztech Ltd,14,Computers - Software & Consulting Companies,https://www.screener.in/company/540063/
Cura Technologies Ltd,12,Computers - Software & Consulting Companies,https://www.screener.in/company/CURAA/
Senthil Infotek Ltd,12,Computers - Software & Consulting Companies,https://www.screener.in/company/531980/
Aris International Ltd,11,Computers - Software & Consulting Companies,https://www.screener.in/company/531677/
Jointeca Education Solutions Ltd,8,Computers - Software & Consulting Companies,https://www.screener.in/company/534659/
Starcom Information Technology Ltd,5,Computers - Software & Consulting Companies,https://www.screener.in/company/531616/
Covidh Technologies Ltd,3,Computers - Software & Consulting Companies,https://www.screener.in/company/534920/
Quintegra Solutions Ltd,2,Computers - Software & Consulting Companies,https://www.screener.in/company/QUINTEGRA/
